sample_name,model_type,precision,recall,f1,AUROC,accuracy,DPD,DPR,EO
HC with fairness constraints and double the size of original dataset lambda = 29.0,mlp,0.6375 ± 0.0087,0.7083 ± 0.0324,0.6705 ± 0.0117,0.6129 ± 0.0060,0.6129 ± 0.0060,0.0529 ± 0.0339,0.9180 ± 0.0505,0.1076 ± 0.0239
HC with fairness constraints and equal number of class 1 and class 0 lambda = 29.0,logistic_regression,0.6667 ± 0.0057,0.6958 ± 0.0117,0.6809 ± 0.0057,0.6399 ± 0.0054,0.6399 ± 0.0054,0.1841 ± 0.0231,0.7327 ± 0.0320,0.2438 ± 0.0230
HC with fairness constraints and equal number of class 1 and class 0 lambda = 29.0,random_forest,0.6489 ± 0.0071,0.6616 ± 0.0173,0.6551 ± 0.0103,0.6167 ± 0.0081,0.6167 ± 0.0081,0.1579 ± 0.0220,0.7601 ± 0.0333,0.2401 ± 0.0322
HC with fairness constraints and equal number of class 1 and class 0 lambda = 29.0,xgboost,0.6635 ± 0.0037,0.6851 ± 0.0174,0.6740 ± 0.0076,0.6347 ± 0.0033,0.6347 ± 0.0033,0.1741 ± 0.0529,0.7448 ± 0.0713,0.2307 ± 0.0314
HC with fairness constraints and equal number of class 1 and class 0 lambda = 29.0,mlp,0.6323 ± 0.0094,0.6256 ± 0.0448,0.6283 ± 0.0256,0.5955 ± 0.0134,0.5955 ± 0.0134,0.1757 ± 0.0371,0.7334 ± 0.0400,0.2462 ± 0.0405
HC with fairness constraints and equal number of protected attribute lambda = 29.0,logistic_regression,0.6667 ± 0.0057,0.6958 ± 0.0117,0.6809 ± 0.0057,0.6399 ± 0.0054,0.6399 ± 0.0054,0.1841 ± 0.0231,0.7327 ± 0.0320,0.2438 ± 0.0230
HC with fairness constraints and equal number of protected attribute lambda = 29.0,random_forest,0.6489 ± 0.0071,0.6616 ± 0.0173,0.6551 ± 0.0103,0.6167 ± 0.0081,0.6167 ± 0.0081,0.1579 ± 0.0220,0.7601 ± 0.0333,0.2401 ± 0.0322
HC with fairness constraints and equal number of protected attribute lambda = 29.0,xgboost,0.6635 ± 0.0037,0.6851 ± 0.0174,0.6740 ± 0.0076,0.6347 ± 0.0033,0.6347 ± 0.0033,0.1741 ± 0.0529,0.7448 ± 0.0713,0.2307 ± 0.0314
HC with fairness constraints and equal number of protected attribute lambda = 29.0,mlp,0.6306 ± 0.0056,0.6304 ± 0.0420,0.6297 ± 0.0197,0.5942 ± 0.0049,0.5942 ± 0.0049,0.1607 ± 0.0659,0.7565 ± 0.0956,0.2373 ± 0.0699
HC with fairness constraints and same size as original dataset lambda = 3.0,logistic_regression,0.6493 ± 0.0046,0.7994 ± 0.0088,0.7165 ± 0.0023,0.6415 ± 0.0042,0.6415 ± 0.0042,0.1238 ± 0.0186,0.8355 ± 0.0221,0.1821 ± 0.0195
HC with fairness constraints and same size as original dataset lambda = 3.0,random_forest,0.6179 ± 0.0049,0.7134 ± 0.0104,0.6621 ± 0.0032,0.5928 ± 0.0048,0.5928 ± 0.0048,0.0599 ± 0.0327,0.9120 ± 0.0466,0.0653 ± 0.0347
HC with fairness constraints and same size as original dataset lambda = 3.0,xgboost,0.6290 ± 0.0049,0.7613 ± 0.0118,0.6888 ± 0.0054,0.6121 ± 0.0058,0.6121 ± 0.0058,0.0577 ± 0.0233,0.9176 ± 0.0327,0.0729 ± 0.0376
HC with fairness constraints and same size as original dataset lambda = 3.0,mlp,0.6150 ± 0.0144,0.6750 ± 0.0523,0.6423 ± 0.0200,0.5839 ± 0.0135,0.5839 ± 0.0135,0.0486 ± 0.0302,0.9226 ± 0.0487,0.0675 ± 0.0237
HC with fairness constraints and double the size of original dataset lambda = 3.0,logistic_regression,0.6457 ± 0.0036,0.7890 ± 0.0115,0.7101 ± 0.0032,0.6356 ± 0.0027,0.6356 ± 0.0027,0.0823 ± 0.0075,0.8856 ± 0.0101,0.1207 ± 0.0108
HC with fairness constraints and double the size of original dataset lambda = 3.0,random_forest,0.6143 ± 0.0068,0.7271 ± 0.0121,0.6659 ± 0.0084,0.5906 ± 0.0089,0.5906 ± 0.0089,0.0220 ± 0.0104,0.9667 ± 0.0156,0.0324 ± 0.0060
HC with fairness constraints and double the size of original dataset lambda = 3.0,xgboost,0.6284 ± 0.0031,0.7399 ± 0.0107,0.6796 ± 0.0062,0.6084 ± 0.0049,0.6084 ± 0.0049,0.0717 ± 0.0161,0.8961 ± 0.0215,0.0791 ± 0.0262
HC with fairness constraints and double the size of original dataset lambda = 3.0,mlp,0.6157 ± 0.0093,0.7065 ± 0.0415,0.6572 ± 0.0140,0.5890 ± 0.0065,0.5890 ± 0.0065,0.0192 ± 0.0168,0.9687 ± 0.0279,0.0395 ± 0.0138
HC with fairness constraints and equal number of class 1 and class 0 lambda = 3.0,logistic_regression,0.6712 ± 0.0024,0.6289 ± 0.0078,0.6493 ± 0.0041,0.6303 ± 0.0024,0.6303 ± 0.0024,0.0993 ± 0.0079,0.8275 ± 0.0102,0.1233 ± 0.0050
HC with fairness constraints and equal number of class 1 and class 0 lambda = 3.0,random_forest,0.6287 ± 0.0030,0.6259 ± 0.0093,0.6273 ± 0.0061,0.5919 ± 0.0041,0.5919 ± 0.0041,0.0845 ± 0.0346,0.8607 ± 0.0520,0.1102 ± 0.0462
HC with fairness constraints and equal number of class 1 and class 0 lambda = 3.0,xgboost,0.6356 ± 0.0060,0.6146 ± 0.0076,0.6249 ± 0.0060,0.5966 ± 0.0062,0.5966 ± 0.0062,0.0841 ± 0.0301,0.8572 ± 0.0465,0.1275 ± 0.0366
HC with fairness constraints and equal number of class 1 and class 0 lambda = 3.0,mlp,0.6161 ± 0.0081,0.6113 ± 0.0413,0.6129 ± 0.0217,0.5777 ± 0.0093,0.5777 ± 0.0093,0.0906 ± 0.0518,0.8511 ± 0.0877,0.1241 ± 0.0472
HC with fairness constraints and equal number of protected attribute lambda = 3.0,logistic_regression,0.6712 ± 0.0024,0.6289 ± 0.0078,0.6493 ± 0.0041,0.6303 ± 0.0024,0.6303 ± 0.0024,0.0993 ± 0.0079,0.8275 ± 0.0102,0.1233 ± 0.0050
HC with fairness constraints and equal number of protected attribute lambda = 3.0,random_forest,0.6287 ± 0.0030,0.6259 ± 0.0093,0.6273 ± 0.0061,0.5919 ± 0.0041,0.5919 ± 0.0041,0.0845 ± 0.0346,0.8607 ± 0.0520,0.1102 ± 0.0462
HC with fairness constraints and equal number of protected attribute lambda = 3.0,xgboost,0.6356 ± 0.0060,0.6146 ± 0.0076,0.6249 ± 0.0060,0.5966 ± 0.0062,0.5966 ± 0.0062,0.0841 ± 0.0301,0.8572 ± 0.0465,0.1275 ± 0.0366
HC with fairness constraints and equal number of protected attribute lambda = 3.0,mlp,0.6148 ± 0.0084,0.6399 ± 0.0452,0.6261 ± 0.0188,0.5797 ± 0.0071,0.5797 ± 0.0071,0.0457 ± 0.0163,0.9236 ± 0.0274,0.0698 ± 0.0184
HC with fairness constraints and same size as original dataset lambda = 30.0,logistic_regression,0.5540 ± 0.0064,0.9601 ± 0.0118,0.7025 ± 0.0023,0.5176 ± 0.0119,0.5176 ± 0.0119,0.0608 ± 0.0304,0.9382 ± 0.0304,0.0850 ± 0.0397
HC with fairness constraints and same size as original dataset lambda = 30.0,random_forest,0.5377 ± 0.0148,0.5557 ± 0.0399,0.5462 ± 0.0268,0.4930 ± 0.0161,0.4930 ± 0.0161,0.0415 ± 0.0285,0.9304 ± 0.0468,0.0819 ± 0.0376
HC with fairness constraints and same size as original dataset lambda = 30.0,xgboost,0.5548 ± 0.0115,0.6167 ± 0.0441,0.5837 ± 0.0261,0.5131 ± 0.0137,0.5131 ± 0.0137,0.0193 ± 0.0160,0.9691 ± 0.0243,0.0517 ± 0.0229
HC with fairness constraints and same size as original dataset lambda = 30.0,mlp,0.5425 ± 0.0140,0.5244 ± 0.1275,0.5266 ± 0.0746,0.5008 ± 0.0142,0.5008 ± 0.0142,0.0846 ± 0.0675,0.8350 ± 0.1288,0.1164 ± 0.0643
HC with fairness constraints and double the size of original dataset lambda = 30.0,logistic_regression,0.5467 ± 0.0052,0.8842 ± 0.0226,0.6755 ± 0.0085,0.5037 ± 0.0091,0.5037 ± 0.0091,0.0267 ± 0.0265,0.9708 ± 0.0284,0.0399 ± 0.0257
HC with fairness constraints and double the size of original dataset lambda = 30.0,random_forest,0.5443 ± 0.0017,0.6170 ± 0.0244,0.5782 ± 0.0113,0.4998 ± 0.0022,0.4998 ± 0.0022,0.0445 ± 0.0385,0.9297 ± 0.0616,0.0539 ± 0.0384
HC with fairness constraints and double the size of original dataset lambda = 30.0,xgboost,0.5589 ± 0.0048,0.6869 ± 0.0280,0.6160 ± 0.0093,0.5191 ± 0.0055,0.5191 ± 0.0055,0.0307 ± 0.0203,0.9564 ± 0.0284,0.0535 ± 0.0169
HC with fairness constraints and double the size of original dataset lambda = 30.0,mlp,0.5535 ± 0.0110,0.5432 ± 0.0419,0.5475 ± 0.0232,0.5097 ± 0.0121,0.5097 ± 0.0121,0.0570 ± 0.0312,0.8974 ± 0.0573,0.0680 ± 0.0332
HC with fairness constraints and equal number of class 1 and class 0 lambda = 30.0,logistic_regression,0.5182 ± 0.0179,0.5488 ± 0.0518,0.5323 ± 0.0322,0.4700 ± 0.0204,0.4700 ± 0.0204,0.4482 ± 0.1842,0.4111 ± 0.1801,0.4816 ± 0.1807
HC with fairness constraints and equal number of class 1 and class 0 lambda = 30.0,random_forest,0.5331 ± 0.0095,0.5193 ± 0.0314,0.5257 ± 0.0183,0.4878 ± 0.0102,0.4878 ± 0.0102,0.0817 ± 0.0594,0.8614 ± 0.0908,0.1016 ± 0.0506
HC with fairness constraints and equal number of class 1 and class 0 lambda = 30.0,xgboost,0.5239 ± 0.0055,0.5176 ± 0.0177,0.5206 ± 0.0112,0.4776 ± 0.0057,0.4776 ± 0.0057,0.0870 ± 0.0527,0.8505 ± 0.0893,0.1136 ± 0.0613
HC with fairness constraints and equal number of class 1 and class 0 lambda = 30.0,mlp,0.5292 ± 0.0119,0.4607 ± 0.0940,0.4880 ± 0.0604,0.4868 ± 0.0104,0.4868 ± 0.0104,0.0666 ± 0.0260,0.8580 ± 0.0737,0.0876 ± 0.0257
HC with fairness constraints and equal number of protected attribute lambda = 30.0,logistic_regression,0.5182 ± 0.0179,0.5488 ± 0.0518,0.5323 ± 0.0322,0.4700 ± 0.0204,0.4700 ± 0.0204,0.4482 ± 0.1842,0.4111 ± 0.1801,0.4816 ± 0.1807
HC with fairness constraints and equal number of protected attribute lambda = 30.0,random_forest,0.5331 ± 0.0095,0.5193 ± 0.0314,0.5257 ± 0.0183,0.4878 ± 0.0102,0.4878 ± 0.0102,0.0817 ± 0.0594,0.8614 ± 0.0908,0.1016 ± 0.0506
HC with fairness constraints and equal number of protected attribute lambda = 30.0,xgboost,0.5239 ± 0.0055,0.5176 ± 0.0177,0.5206 ± 0.0112,0.4776 ± 0.0057,0.4776 ± 0.0057,0.0870 ± 0.0527,0.8505 ± 0.0893,0.1136 ± 0.0613
HC with fairness constraints and equal number of protected attribute lambda = 30.0,mlp,0.5250 ± 0.0134,0.4643 ± 0.0889,0.4887 ± 0.0603,0.4829 ± 0.0104,0.4829 ± 0.0104,0.0559 ± 0.0221,0.8881 ± 0.0402,0.0734 ± 0.0216
HC with fairness constraints and same size as original dataset lambda = 31.0,logistic_regression,0.5677 ± 0.0063,0.7518 ± 0.0319,0.6466 ± 0.0125,0.5335 ± 0.0089,0.5335 ± 0.0089,0.3508 ± 0.0394,0.6305 ± 0.0432,0.3579 ± 0.0395
HC with fairness constraints and same size as original dataset lambda = 31.0,random_forest,0.5642 ± 0.0049,0.6420 ± 0.0292,0.6003 ± 0.0138,0.5245 ± 0.0062,0.5245 ± 0.0062,0.1155 ± 0.0541,0.8359 ± 0.0725,0.1577 ± 0.0603
HC with fairness constraints and same size as original dataset lambda = 31.0,xgboost,0.5697 ± 0.0044,0.6839 ± 0.0041,0.6216 ± 0.0032,0.5331 ± 0.0055,0.5331 ± 0.0055,0.0937 ± 0.0324,0.8702 ± 0.0409,0.1204 ± 0.0371
HC with fairness constraints and same size as original dataset lambda = 31.0,mlp,0.5580 ± 0.0104,0.6170 ± 0.0393,0.5857 ± 0.0235,0.5168 ± 0.0125,0.5168 ± 0.0125,0.1246 ± 0.0245,0.8168 ± 0.0398,0.1749 ± 0.0450
HC with fairness constraints and double the size of original dataset lambda = 31.0,logistic_regression,0.5712 ± 0.0065,0.7369 ± 0.0037,0.6436 ± 0.0044,0.5377 ± 0.0089,0.5377 ± 0.0089,0.3594 ± 0.0140,0.6164 ± 0.0144,0.3704 ± 0.0176
HC with fairness constraints and double the size of original dataset lambda = 31.0,random_forest,0.5617 ± 0.0071,0.6503 ± 0.0270,0.6026 ± 0.0153,0.5219 ± 0.0094,0.5219 ± 0.0094,0.1784 ± 0.0207,0.7609 ± 0.0296,0.2072 ± 0.0155
HC with fairness constraints and double the size of original dataset lambda = 31.0,xgboost,0.5783 ± 0.0057,0.7080 ± 0.0242,0.6364 ± 0.0114,0.5453 ± 0.0079,0.5453 ± 0.0079,0.2694 ± 0.0296,0.6801 ± 0.0355,0.2793 ± 0.0313
HC with fairness constraints and double the size of original dataset lambda = 31.0,mlp,0.5558 ± 0.0061,0.6530 ± 0.0551,0.5994 ± 0.0244,0.5144 ± 0.0079,0.5144 ± 0.0079,0.1273 ± 0.0427,0.8239 ± 0.0552,0.1430 ± 0.0393
HC with fairness constraints and equal number of class 1 and class 0 lambda = 31.0,logistic_regression,0.5964 ± 0.0039,0.6092 ± 0.0192,0.6026 ± 0.0103,0.5582 ± 0.0049,0.5582 ± 0.0049,0.5633 ± 0.0330,0.3901 ± 0.0307,0.5875 ± 0.0278
HC with fairness constraints and equal number of class 1 and class 0 lambda = 31.0,random_forest,0.5748 ± 0.0077,0.5500 ± 0.0152,0.5620 ± 0.0076,0.5316 ± 0.0072,0.5316 ± 0.0072,0.2194 ± 0.0409,0.6704 ± 0.0569,0.2522 ± 0.0279
HC with fairness constraints and equal number of class 1 and class 0 lambda = 31.0,xgboost,0.5804 ± 0.0060,0.5771 ± 0.0209,0.5786 ± 0.0135,0.5393 ± 0.0074,0.5393 ± 0.0074,0.2621 ± 0.0277,0.6324 ± 0.0336,0.2853 ± 0.0363
HC with fairness constraints and equal number of class 1 and class 0 lambda = 31.0,mlp,0.5784 ± 0.0216,0.6333 ± 0.0643,0.6018 ± 0.0209,0.5377 ± 0.0175,0.5377 ± 0.0175,0.1721 ± 0.1151,0.7581 ± 0.1591,0.1981 ± 0.1039
HC with fairness constraints and equal number of protected attribute lambda = 31.0,logistic_regression,0.5964 ± 0.0039,0.6092 ± 0.0192,0.6026 ± 0.0103,0.5582 ± 0.0049,0.5582 ± 0.0049,0.5633 ± 0.0330,0.3901 ± 0.0307,0.5875 ± 0.0278
HC with fairness constraints and equal number of protected attribute lambda = 31.0,random_forest,0.5748 ± 0.0077,0.5500 ± 0.0152,0.5620 ± 0.0076,0.5316 ± 0.0072,0.5316 ± 0.0072,0.2194 ± 0.0409,0.6704 ± 0.0569,0.2522 ± 0.0279
HC with fairness constraints and equal number of protected attribute lambda = 31.0,xgboost,0.5804 ± 0.0060,0.5771 ± 0.0209,0.5786 ± 0.0135,0.5393 ± 0.0074,0.5393 ± 0.0074,0.2621 ± 0.0277,0.6324 ± 0.0336,0.2853 ± 0.0363
HC with fairness constraints and equal number of protected attribute lambda = 31.0,mlp,0.5742 ± 0.0198,0.4682 ± 0.0626,0.5135 ± 0.0417,0.5264 ± 0.0172,0.5264 ± 0.0172,0.1708 ± 0.0781,0.7024 ± 0.0986,0.1973 ± 0.0729
HC with fairness constraints and same size as original dataset lambda = 32.0,logistic_regression,0.5721 ± 0.0058,0.9280 ± 0.0252,0.7077 ± 0.0079,0.5489 ± 0.0094,0.5489 ± 0.0094,0.0606 ± 0.0372,0.9345 ± 0.0399,0.0923 ± 0.0428
HC with fairness constraints and same size as original dataset lambda = 32.0,random_forest,0.5736 ± 0.0106,0.6583 ± 0.0121,0.6128 ± 0.0034,0.5361 ± 0.0121,0.5361 ± 0.0121,0.0598 ± 0.0174,0.9097 ± 0.0251,0.0759 ± 0.0335
HC with fairness constraints and same size as original dataset lambda = 32.0,xgboost,0.5833 ± 0.0130,0.7333 ± 0.0306,0.6497 ± 0.0190,0.5537 ± 0.0187,0.5537 ± 0.0187,0.0317 ± 0.0259,0.9556 ± 0.0354,0.0423 ± 0.0298
HC with fairness constraints and same size as original dataset lambda = 32.0,mlp,0.5670 ± 0.0083,0.6205 ± 0.0784,0.5896 ± 0.0369,0.5261 ± 0.0079,0.5261 ± 0.0079,0.0350 ± 0.0302,0.9432 ± 0.0450,0.0667 ± 0.0350
HC with fairness constraints and double the size of original dataset lambda = 32.0,logistic_regression,0.5846 ± 0.0043,0.8884 ± 0.0449,0.7047 ± 0.0134,0.5666 ± 0.0061,0.5666 ± 0.0061,0.1409 ± 0.0368,0.8459 ± 0.0427,0.1930 ± 0.0407
HC with fairness constraints and double the size of original dataset lambda = 32.0,random_forest,0.5684 ± 0.0052,0.6524 ± 0.0355,0.6070 ± 0.0155,0.5299 ± 0.0064,0.5299 ± 0.0064,0.0964 ± 0.0686,0.8619 ± 0.0949,0.1431 ± 0.0574
HC with fairness constraints and double the size of original dataset lambda = 32.0,xgboost,0.5736 ± 0.0082,0.7312 ± 0.0211,0.6428 ± 0.0120,0.5407 ± 0.0119,0.5407 ± 0.0119,0.0682 ± 0.0385,0.9087 ± 0.0500,0.1021 ± 0.0334
HC with fairness constraints and double the size of original dataset lambda = 32.0,mlp,0.5625 ± 0.0159,0.6345 ± 0.1042,0.5932 ± 0.0553,0.5244 ± 0.0202,0.5244 ± 0.0202,0.0852 ± 0.0690,0.8713 ± 0.1046,0.1388 ± 0.0587
HC with fairness constraints and equal number of class 1 and class 0 lambda = 32.0,logistic_regression,0.5427 ± 0.0137,0.4497 ± 0.0293,0.4916 ± 0.0227,0.4987 ± 0.0118,0.4987 ± 0.0118,0.0536 ± 0.0208,0.8875 ± 0.0406,0.0626 ± 0.0219
HC with fairness constraints and equal number of class 1 and class 0 lambda = 32.0,random_forest,0.5653 ± 0.0100,0.5375 ± 0.0141,0.5509 ± 0.0089,0.5214 ± 0.0102,0.5214 ± 0.0102,0.0309 ± 0.0207,0.9435 ± 0.0369,0.0621 ± 0.0343
HC with fairness constraints and equal number of class 1 and class 0 lambda = 32.0,xgboost,0.5765 ± 0.0080,0.5295 ± 0.0332,0.5515 ± 0.0203,0.5323 ± 0.0087,0.5323 ± 0.0087,0.0828 ± 0.0487,0.8535 ± 0.0822,0.1006 ± 0.0569
HC with fairness constraints and equal number of class 1 and class 0 lambda = 32.0,mlp,0.5621 ± 0.0102,0.5512 ± 0.0686,0.5543 ± 0.0369,0.5187 ± 0.0117,0.5187 ± 0.0117,0.0921 ± 0.0301,0.8458 ± 0.0351,0.1102 ± 0.0201
HC with fairness constraints and equal number of protected attribute lambda = 32.0,logistic_regression,0.5427 ± 0.0137,0.4497 ± 0.0293,0.4916 ± 0.0227,0.4987 ± 0.0118,0.4987 ± 0.0118,0.0536 ± 0.0208,0.8875 ± 0.0406,0.0626 ± 0.0219
HC with fairness constraints and equal number of protected attribute lambda = 32.0,random_forest,0.5653 ± 0.0100,0.5375 ± 0.0141,0.5509 ± 0.0089,0.5214 ± 0.0102,0.5214 ± 0.0102,0.0309 ± 0.0207,0.9435 ± 0.0369,0.0621 ± 0.0343
HC with fairness constraints and equal number of protected attribute lambda = 32.0,xgboost,0.5765 ± 0.0080,0.5295 ± 0.0332,0.5515 ± 0.0203,0.5323 ± 0.0087,0.5323 ± 0.0087,0.0828 ± 0.0487,0.8535 ± 0.0822,0.1006 ± 0.0569
HC with fairness constraints and equal number of protected attribute lambda = 32.0,mlp,0.5592 ± 0.0048,0.5607 ± 0.0780,0.5573 ± 0.0401,0.5163 ± 0.0063,0.5163 ± 0.0063,0.0894 ± 0.0490,0.8476 ± 0.0897,0.1253 ± 0.0519
HC with fairness constraints and same size as original dataset lambda = 33.0,logistic_regression,0.6592 ± 0.0057,0.7128 ± 0.0131,0.6849 ± 0.0083,0.6361 ± 0.0075,0.6361 ± 0.0075,0.2363 ± 0.0304,0.6829 ± 0.0289,0.2750 ± 0.0307
HC with fairness constraints and same size as original dataset lambda = 33.0,random_forest,0.6437 ± 0.0073,0.6926 ± 0.0044,0.6672 ± 0.0024,0.6169 ± 0.0067,0.6169 ± 0.0067,0.1399 ± 0.0285,0.7944 ± 0.0356,0.1370 ± 0.0294
HC with fairness constraints and same size as original dataset lambda = 33.0,xgboost,0.6458 ± 0.0057,0.7170 ± 0.0116,0.6794 ± 0.0044,0.6233 ± 0.0051,0.6233 ± 0.0051,0.1391 ± 0.0185,0.8001 ± 0.0246,0.1406 ± 0.0215
HC with fairness constraints and same size as original dataset lambda = 33.0,mlp,0.6347 ± 0.0101,0.6908 ± 0.0503,0.6603 ± 0.0196,0.6070 ± 0.0065,0.6070 ± 0.0065,0.1051 ± 0.0342,0.8387 ± 0.0585,0.0990 ± 0.0384
HC with fairness constraints and double the size of original dataset lambda = 33.0,logistic_regression,0.6579 ± 0.0016,0.7658 ± 0.0092,0.7077 ± 0.0042,0.6448 ± 0.0027,0.6448 ± 0.0027,0.2471 ± 0.0224,0.6893 ± 0.0250,0.3142 ± 0.0225
HC with fairness constraints and double the size of original dataset lambda = 33.0,random_forest,0.6228 ± 0.0077,0.7301 ± 0.0196,0.6721 ± 0.0104,0.6006 ± 0.0097,0.6006 ± 0.0097,0.0610 ± 0.0373,0.9114 ± 0.0519,0.1389 ± 0.0538
HC with fairness constraints and double the size of original dataset lambda = 33.0,xgboost,0.6351 ± 0.0028,0.7652 ± 0.0165,0.6940 ± 0.0074,0.6198 ± 0.0045,0.6198 ± 0.0045,0.1417 ± 0.0333,0.8119 ± 0.0386,0.2046 ± 0.0351
HC with fairness constraints and double the size of original dataset lambda = 33.0,mlp,0.6121 ± 0.0065,0.7214 ± 0.0711,0.6606 ± 0.0287,0.5870 ± 0.0090,0.5870 ± 0.0090,0.0902 ± 0.0320,0.8700 ± 0.0471,0.1464 ± 0.0483
HC with fairness constraints and equal number of class 1 and class 0 lambda = 33.0,logistic_regression,0.6562 ± 0.0037,0.6946 ± 0.0117,0.6748 ± 0.0051,0.6297 ± 0.0035,0.6297 ± 0.0035,0.2095 ± 0.0284,0.7072 ± 0.0274,0.2605 ± 0.0272
HC with fairness constraints and equal number of class 1 and class 0 lambda = 33.0,random_forest,0.6284 ± 0.0053,0.6542 ± 0.0249,0.6407 ± 0.0102,0.5956 ± 0.0034,0.5956 ± 0.0034,0.1362 ± 0.0289,0.7924 ± 0.0430,0.1903 ± 0.0460
HC with fairness constraints and equal number of class 1 and class 0 lambda = 33.0,xgboost,0.6402 ± 0.0065,0.6830 ± 0.0069,0.6609 ± 0.0055,0.6120 ± 0.0070,0.6120 ± 0.0070,0.1448 ± 0.0502,0.7885 ± 0.0662,0.1704 ± 0.0614
HC with fairness constraints and equal number of class 1 and class 0 lambda = 33.0,mlp,0.6204 ± 0.0140,0.5964 ± 0.1086,0.6023 ± 0.0531,0.5783 ± 0.0119,0.5783 ± 0.0119,0.1071 ± 0.0575,0.8081 ± 0.1159,0.1469 ± 0.0441
HC with fairness constraints and equal number of protected attribute lambda = 33.0,logistic_regression,0.6562 ± 0.0037,0.6946 ± 0.0117,0.6748 ± 0.0051,0.6297 ± 0.0035,0.6297 ± 0.0035,0.2095 ± 0.0284,0.7072 ± 0.0274,0.2605 ± 0.0272
HC with fairness constraints and equal number of protected attribute lambda = 33.0,random_forest,0.6284 ± 0.0053,0.6542 ± 0.0249,0.6407 ± 0.0102,0.5956 ± 0.0034,0.5956 ± 0.0034,0.1362 ± 0.0289,0.7924 ± 0.0430,0.1903 ± 0.0460
HC with fairness constraints and equal number of protected attribute lambda = 33.0,xgboost,0.6402 ± 0.0065,0.6830 ± 0.0069,0.6609 ± 0.0055,0.6120 ± 0.0070,0.6120 ± 0.0070,0.1448 ± 0.0502,0.7885 ± 0.0662,0.1704 ± 0.0614
HC with fairness constraints and equal number of protected attribute lambda = 33.0,mlp,0.6091 ± 0.0096,0.6613 ± 0.0609,0.6327 ± 0.0278,0.5766 ± 0.0118,0.5766 ± 0.0118,0.1029 ± 0.0400,0.8421 ± 0.0663,0.1429 ± 0.0468
HC with fairness constraints and same size as original dataset lambda = 34.0,logistic_regression,0.6653 ± 0.0055,0.7821 ± 0.0240,0.7188 ± 0.0071,0.6557 ± 0.0028,0.6557 ± 0.0028,0.2536 ± 0.0408,0.6854 ± 0.0497,0.2963 ± 0.0430
HC with fairness constraints and same size as original dataset lambda = 34.0,random_forest,0.6382 ± 0.0056,0.7271 ± 0.0190,0.6796 ± 0.0057,0.6169 ± 0.0034,0.6169 ± 0.0034,0.1490 ± 0.0535,0.7947 ± 0.0627,0.1812 ± 0.0559
HC with fairness constraints and same size as original dataset lambda = 34.0,xgboost,0.6492 ± 0.0081,0.7551 ± 0.0140,0.6981 ± 0.0089,0.6336 ± 0.0100,0.6336 ± 0.0100,0.2100 ± 0.0245,0.7278 ± 0.0260,0.2499 ± 0.0272
HC with fairness constraints and same size as original dataset lambda = 34.0,mlp,0.6323 ± 0.0153,0.7012 ± 0.0669,0.6628 ± 0.0209,0.6050 ± 0.0084,0.6050 ± 0.0084,0.1486 ± 0.0341,0.7851 ± 0.0579,0.1859 ± 0.0275
HC with fairness constraints and double the size of original dataset lambda = 34.0,logistic_regression,0.6641 ± 0.0064,0.7690 ± 0.0097,0.7126 ± 0.0020,0.6518 ± 0.0050,0.6518 ± 0.0050,0.2726 ± 0.0200,0.6628 ± 0.0245,0.3192 ± 0.0214
HC with fairness constraints and double the size of original dataset lambda = 34.0,random_forest,0.6394 ± 0.0077,0.7435 ± 0.0067,0.6875 ± 0.0063,0.6210 ± 0.0089,0.6210 ± 0.0089,0.2067 ± 0.0209,0.7313 ± 0.0215,0.2985 ± 0.0204
HC with fairness constraints and double the size of original dataset lambda = 34.0,xgboost,0.6552 ± 0.0023,0.7646 ± 0.0185,0.7056 ± 0.0069,0.6417 ± 0.0024,0.6417 ± 0.0024,0.2211 ± 0.0209,0.7165 ± 0.0250,0.2714 ± 0.0365
